ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
CHRD,CHRD,USA,--,--,148.39,USD,150.5,1.4,8354.2,1064.9,58.74,56.8,OVERBOUGHT,BUY,,4877.1,0.98,2026-05-17T12:03:51.606284
GLOB,GLOB,USA,--,--,38.91,USD,107.12,63.7,1680.1,1571.0,-61.54,-62.87,OVERSOLD,Strong BUY,,2454.9,1.64,2026-05-17T12:03:51.758788
SYK,SYK,USA,--,--,306.76,USD,404.87,24.2,117599.8,2229.5,-73.81,-72.47,OVERSOLD,Turning Up,,25116.0,1.21,2026-05-17T12:03:52.010630
ASAN,ASAN,USA,--,--,6.2,USD,19.0,67.4,1476.1,6556.7,-35.89,-45.43,Bearish,Strong BUY,,790.8,1.18,2026-05-17T12:03:52.240594
KLAR,KLAR,USA,--,--,15.17,USD,47.48,68.0,5736.0,7353.8,-26.24,-41.47,Bearish,Strong BUY,,3510.0,1.09,2026-05-17T12:03:52.288429
VIRT,VIRT,USA,--,--,54.49,USD,55.33,1.5,4742.0,1241.2,73.18,69.38,OVERBOUGHT,BUY,,3632.1,1.69,2026-05-17T12:03:52.342304
NN,NN,USA,--,--,21.49,USD,24.19,11.2,2932.0,2129.7,21.96,19.02,Bullish,BUY,,4.6,12.71,2026-05-17T12:03:52.423743
SARO,SARO,USA,--,--,25.25,USD,34.48,26.8,8394.9,4190.6,-68.16,-70.14,OVERSOLD,Strong BUY,,6062.5,1.57,2026-05-17T12:03:52.638860
LI,LI,USA,--,--,18.51,USD,32.03,42.2,18892.5,3077.9,1.17,3.6,Bullish,Turning Up,,112312.5,1.68,2026-05-17T12:03:52.941932
PWR,PWR,USA,--,--,769.99,USD,788.75,2.4,115544.8,1141.6,81.71,81.55,OVERBOUGHT,BUY,,28479.7,1.09,2026-05-17T12:03:53.001326
VENU,VENU,USA,--,--,3.74,USD,18.17,79.4,225.7,320.9,-38.0,-45.55,Bearish,Strong BUY,,17.9,0.76,2026-05-17T12:03:53.073301
SEPN,SEPN,USA,--,--,26.95,USD,32.63,17.4,1214.8,326.7,-50.72,-57.68,OVERSOLD,Strong BUY,,46.0,4.73,2026-05-17T12:03:53.453615
ENPH,ENPH,USA,--,--,52.89,USD,53.89,1.9,6970.8,6403.6,-10.91,-35.61,Bearish,Strong BUY,,1473.0,1.84,2026-05-17T12:03:53.741121
