ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
SLS,"SELLAS Life Sciences Group, Inc",USA,United States,Healthcare,7.08,USD,7.8,9.2,1317.1,6862.5,17.45,6.11,Bullish,BUY,-0.23,0.0,10.72,2026-05-17T10:33:53.909698
SENS,"Senseonics Holdings, Inc.",USA,United States,Healthcare,5.77,USD,12.58,54.1,301.2,702.3,-51.08,-44.5,OVERSOLD,Turning Up,-1.97,35.3,4.55,2026-05-17T10:33:53.971377
TM,Toyota Motor Corporation,USA,Japan,Consumer Cyclical,190.68,USD,248.9,23.4,248520.5,364.8,-80.15,-79.38,OVERSOLD,Turning Up,18.71,48036704.0,1.1,2026-05-17T10:33:54.026501
KOS,Kosmos Energy Ltd.,USA,United States,Energy,3.23,USD,3.32,2.7,1916.0,26008.2,59.85,58.38,OVERBOUGHT,BUY,-1.69,1288.4,0.45,2026-05-17T10:33:54.096658
CDRE,"Cadre Holdings, Inc.",USA,United States,Industrials,29.78,USD,48.76,38.9,1274.5,427.3,-73.58,-75.99,OVERSOLD,Strong BUY,0.84,610.3,2.54,2026-05-17T10:33:54.194079
BEP,Brookfield Renewable Partners L,USA,Canada,Utilities,34.37,USD,35.97,4.4,10423.6,850.9,46.47,49.62,OVERBOUGHT,Turning Up,-0.3,6407.0,0.56,2026-05-17T10:33:54.594732
USAS,Americas Gold and Silver Corpor,USA,Canada,Basic Materials,6.25,USD,10.5,40.5,2036.8,6350.8,-37.82,-42.6,Bearish,Strong BUY,-0.33,117.9,1.66,2026-05-17T10:33:54.735728
ASTS,"AST SpaceMobile, Inc.",USA,United States,Technology,83.67,USD,129.89,35.6,24996.1,15700.5,-40.75,-45.13,OVERSOLD,Strong BUY,-1.8,70.9,16.27,2026-05-17T10:33:55.043824
ROIV,Roivant Sciences Ltd.,USA,United Kingdom,Healthcare,29.29,USD,30.33,3.4,20962.9,5409.2,25.9,27.37,Bullish,Turning Up,-1.17,29.1,33.23,2026-05-17T10:33:55.136965
VNOM,"Viper Energy, Inc.",USA,United States,Energy,48.98,USD,51.13,4.2,9512.7,2989.6,42.97,43.38,OVERBOUGHT,Turning Up,-0.57,1394.0,3.72,2026-05-17T10:33:55.178960
NFGC,New Found Gold Corp,USA,Canada,Basic Materials,2.02,USD,3.59,43.7,775.8,1930.5,-35.7,-41.77,Bearish,Strong BUY,-0.18,5.8,3.48,2026-05-17T10:33:55.277050
CCCC,"C4 Therapeutics, Inc.",USA,United States,Healthcare,3.56,USD,3.95,9.9,393.6,3054.2,9.07,3.47,Bullish,BUY,-1.1,35.9,7.81,2026-05-17T10:33:55.331007
OKE,"ONEOK, Inc.",USA,United States,Energy,92.32,USD,95.3,3.1,58164.6,4938.3,15.32,13.72,Bullish,BUY,5.61,33629.0,0.56,2026-05-17T10:33:55.409665
HLIO,"Helios Technologies, Inc.",USA,United States,Industrials,77.03,USD,80.0,3.7,2545.6,377.4,8.05,-3.23,Bullish,BUY,1.82,839.0,1.58,2026-05-17T10:33:55.608242
KYTX,"Kyverna Therapeutics, Inc.",USA,United States,Healthcare,9.49,USD,13.67,30.6,576.9,873.6,-4.57,-3.29,Bearish,Turning Up,-3.27,0.0,7.75,2026-05-17T10:33:55.800763
NJR,NewJersey Resources Corporation,USA,United States,Utilities,57.33,USD,57.91,1.0,5785.8,540.8,50.6,52.6,OVERBOUGHT,Turning Up,3.37,2036.4,0.4,2026-05-17T10:33:55.905815
RPRX,Royalty Pharma plc,USA,United States,Healthcare,52.85,USD,53.47,1.2,23427.0,3323.8,78.69,77.36,OVERBOUGHT,BUY,1.9,2378.2,2.4,2026-05-17T10:33:56.051711
RUN,Sunrun Inc.,USA,United States,Technology,13.99,USD,22.44,37.7,3337.3,10006.2,-26.26,-39.37,Bearish,Strong BUY,2.13,2957.0,1.27,2026-05-17T10:33:56.200297
TRT,Trio-Tech International,USA,United States,Technology,20.05,USD,21.38,6.2,202.8,984.8,46.49,42.26,OVERBOUGHT,BUY,0.04,36.5,4.67,2026-05-17T10:33:56.225292
ENPH,"Enphase Energy, Inc.",USA,United States,Technology,52.89,USD,53.89,1.9,6970.8,6403.6,-10.91,-35.61,Bearish,Strong BUY,1.01,1473.0,1.84,2026-05-17T10:33:56.402019
BVN,Buenaventura Mining Company Inc,USA,Peru,Basic Materials,34.29,USD,44.67,23.2,8709.2,1595.9,-24.17,-27.94,Bearish,BUY,3.3,1731.6,1.88,2026-05-17T10:33:56.449256
DLTR,"Dollar Tree, Inc.",USA,United States,Consumer Defensive,89.58,USD,142.4,37.1,17443.5,3353.6,-83.24,-81.85,OVERSOLD,Turning Up,5.94,19411.8,0.29,2026-05-17T10:33:57.004694
POET,POET Technologies Inc.,USA,Canada,Technology,15.97,USD,20.81,23.3,2438.8,30011.7,20.03,15.31,Bullish,BUY,-0.68,1.1,2.19,2026-05-17T10:33:57.147028
CELH,"Celsius Holdings, Inc.",USA,United States,Consumer Defensive,30.16,USD,66.74,54.8,7710.1,7766.2,-85.31,-85.63,OVERSOLD,Strong BUY,0.43,2515.3,1.37,2026-05-17T10:33:57.676773
NOV,NOV Inc.,USA,United States,Energy,20.37,USD,20.93,2.7,7310.6,4948.4,29.87,25.77,Bullish,BUY,0.25,8744.0,1.67,2026-05-17T10:33:57.894274
SCHW,Charles Schwab Corporation (The,USA,United States,Financial Services,90.88,USD,107.5,15.5,158052.6,10454.9,-64.65,-65.05,OVERSOLD,Strong BUY,5.03,23921.0,,2026-05-17T10:33:57.948957
PWR,"Quanta Services, Inc.",USA,United States,Industrials,769.99,USD,788.75,2.4,115544.8,1141.6,81.71,81.55,OVERBOUGHT,BUY,7.31,28479.7,1.09,2026-05-17T10:33:58.008810
IBRX,"ImmunityBio, Inc.",USA,United States,Healthcare,7.97,USD,12.43,35.9,8347.4,24682.0,-38.38,-39.98,Bearish,Strong BUY,-0.85,113.3,5.08,2026-05-17T10:33:58.160278
IVA,Inventiva S.A. - American Depos,USA,France,Healthcare,5.44,USD,7.98,31.9,1129.6,345.7,-59.49,-60.9,OVERSOLD,Strong BUY,-2.23,4.5,3.16,2026-05-17T10:33:58.254056
IMO,Imperial Oil Limited,USA,Canada,Energy,134.73,USD,135.04,0.2,66992.9,708.4,50.05,49.24,OVERBOUGHT,BUY,4.31,45203.0,0.83,2026-05-17T10:33:58.581469
CRBU,"Caribou Biosciences, Inc.",USA,United States,Healthcare,2.14,USD,3.54,39.5,212.2,1410.5,9.19,14.08,Bullish,Turning Up,-1.42,11.2,5.71,2026-05-17T10:33:58.845240
RIG,Transocean Ltd (Switzerland),USA,Switzerland,Energy,7.04,USD,7.14,1.4,7859.7,37653.7,27.15,24.18,Bullish,BUY,-2.89,3965.0,,2026-05-17T10:33:58.970440
PSX,Phillips 66,USA,United States,Energy,176.2,USD,190.61,7.6,70644.7,3197.2,5.75,5.45,Bullish,BUY,10.11,132376.0,,2026-05-17T10:33:58.978977
CL,Colgate-Palmolive Company,USA,United States,Consumer Defensive,88.13,USD,99.33,11.3,70520.7,5996.4,-32.21,-40.86,Bearish,Strong BUY,2.58,20382.0,,2026-05-17T10:33:58.981830
OLLI,Ollie's Bargain Outlet Holdings,USA,United States,Consumer Defensive,78.49,USD,141.74,44.6,4761.3,1416.2,-79.42,-77.71,OVERSOLD,Turning Up,3.89,2649.2,,2026-05-17T10:33:59.001798
MBI,MBI,USA,--,--,5.86,USD,8.26,29.1,298.5,346.4,-53.65,-52.48,OVERSOLD,Turning Up,,,,2026-05-17T10:33:59.129887
SEPN,SEPN,USA,--,--,26.95,USD,32.63,17.4,1214.8,326.7,-50.72,-57.68,OVERSOLD,Strong BUY,,,,2026-05-17T10:33:59.141804
MAMA,"Mama's Creations, Inc.",USA,United States,Consumer Defensive,14.45,USD,17.85,19.0,587.5,421.7,-54.64,-52.55,OVERSOLD,Turning Up,0.13,171.7,1.71,2026-05-17T10:33:59.222712
WDP.BR,WDP.BR,EU,--,--,21.74,EUR,26.18,17.0,5111.9,427.6,-14.19,-13.02,Bearish,Turning Up,,,,2026-05-17T10:33:59.873295
